author,title,author_title,bengali,partial_trans,correct_trans
Michael Madhusudan Dutta,বঙ্গভাষা,Michael Madhusudan Dutta - বঙ্গভাষা,"”পালিলাম আজ্ঞা সুখে; পাইলাম কালে মাতৃ - ভাষা - রূপে খনি, পূর্ণ মণিজালে","”पालिलाम आज्ञा सुखे; पाइलाम काले मातृ - भाषा - रूपे खनि, पूर्ण मणिजाले","”पालिलाम आज्ञा सुखे; पाइलाम काले मातृ - भाषा - रूपे खनि, पूर्ण मणिजाले"
Michael Madhusudan Dutta,কমলে কামিনী,Michael Madhusudan Dutta - কমলে কামিনী,কমলে কামিনী আমি হেরিনু স্বপনে কালিদহে,कमले कामिनी आमि हेरिनु स्वपने कालिदहे,कमले कामिनी आमि हेरिनु स्वपने कालिदहे
Michael Madhusudan Dutta,কমলে কামিনী,Michael Madhusudan Dutta - কমলে কামিনী,বসি বামা শতদল - দলে (নিশীথে চন্দ্রিমা যথা সরসীর জলে মনোহরা,बसि बामा शतदल - दले (निशीथे चन्द्रिमा यथा सरसीर जले मनोहरा,वसि वामा शतदल - दले (निशीथे चन्द्रिमा यथा सरसीर जले मनोहरा
Michael Madhusudan Dutta,কমলে কামিনী,Michael Madhusudan Dutta - কমলে কামিনী,"বাম করে সাপটি হেলনে গজেশে, গ্রাসিছে তারে উগরি সঘনে গুঞ্জরিছে অলিপুঞ্জ অন্ধ পরিমলে, বহিছে দহের বারি মৃদু কলকলে","बाम करे सापटि हेलने गजेशे, ग्रासिछे तारे उगरि सघने गुञ्जरिछे अलिपुञ्ज अन्ध परिमले, बहिछे दहेर बारि मृदु कलकले","वाम करे सापटि हेलने गजेशे, ग्रासिछे तारे उगरि सघने गुञ्जरिछे अलिपुञ्ज अन्ध परिमले, बहिछे दहेर वारि मृदु कलकले"
Michael Madhusudan Dutta,কমলে কামিনী,Michael Madhusudan Dutta - কমলে কামিনী,"কার না ভোলে রে মনঃ, এহেন ছলনে","कार ना भोले रे मनः, एहेन छलने","कार ना भोले रे मनः, एहेन छलने"
Michael Madhusudan Dutta,কমলে কামিনী,Michael Madhusudan Dutta - কমলে কামিনী,"কবিতা - পঙ্কজ - রবি, শ্রীকবিকঙ্কণ, ধন্য তুমি বঙ্গভূমে","कबिता - पङ्कज - रबि, श्रीकबिकङ्कण, धन्य तुमि बङ्गभूमे","कविता - पङ्कज - रवि, श्रीकविकङ्कण, धन्य तुमि बङ्गभूमे"
Michael Madhusudan Dutta,কমলে কামিনী,Michael Madhusudan Dutta - কমলে কামিনী,যশঃ - সুধাদানে অমর করিলা তোমা অমরকারিণী বাগ্‌দেবী,यशः - सुधादाने अमर करिला तोमा अमरकारिणी बाग्‌देबी,यशः - सुधादाने अमर करिला तोमा अमरकारिणी बाग्‌देबी
Michael Madhusudan Dutta,কমলে কামিনী,Michael Madhusudan Dutta - কমলে কামিনী,"ভোগিলা দুখ জীবনে, ব্রাহ্মণ, এবে কে না পূজে তোমা, মজি তব গানে","भोगिला दुख जीबने, ब्राह्मण, एबे के ना पूजे तोमा, मजि तब गाने","भोगिला दुख जीवने, ब्राह्मण, एबे के ना पूजे तोमा, मजि तब गाने"
Michael Madhusudan Dutta,কমলে কামিনী,Michael Madhusudan Dutta - কমলে কামিনী,বঙ্গ - হৃদ - হ্রদে চণ্ডী কমলে কামিনী,बङ्ग - हृद - ह्रदे चण्डी कमले कामिनी,वङ्ग - हृद - ह्रदे चण्डी कमले कामिनी
Michael Madhusudan Dutta,যশের মন্দির,Michael Madhusudan Dutta - যশের মন্দির,সুবর্ণ - দেউল আমি দেখিনু স্বপনে অতি - তুঙ্গ শৃঙ্গ শিরে,सुबर्ण - देउल आमि देखिनु स्वपने अति - तुङ्ग शृङ्ग शिरे,सुवर्ण - देउल आमि देखिनु स्वपने अति - तुङ्ग शृङ्ग शिरे
Michael Madhusudan Dutta,যশের মন্দির,Michael Madhusudan Dutta - যশের মন্দির,"সে শৃঙ্গের তলে, বড় অপ্রশস্ত সিঁড়ি গড়া মায়া - বলে, বহুবিধ রোধে রুদ্ধ উর্দ্ধগামী জনে","से शृङ्गेर तले, बड़ अप्रशस्त सिँड़ि गड़ा माय़ा - बले, बहुबिध रोधे रुद्ध उर्द्धगामी जने","से शृङ्गेर तले, बृ अप्रशस्त सिंॢि गृा माता - बले, बहुविध रोधे रुद्ध उर्द्धगामी जने"
Michael Madhusudan Dutta,যশের মন্দির,Michael Madhusudan Dutta - যশের মন্দির,তবুও উঠিতে তথা— সে দুর্গম স্থলে— করিছে কঠোর চেষ্টা কষ্ট সহি মনে বহু প্রাণী,तबुओ उठिते तथा— से दुर्गम स्थले— करिछे कठोर चेष्टा कष्ट सहि मने बहु प्राणी,तबुओ उठिते तथा— से दुर्गम स्थले— करिछे कठोर चेष्ता कष्ट सहि मने बहु प्राणी
Michael Madhusudan Dutta,যশের মন্দির,Michael Madhusudan Dutta - যশের মন্দির,"বহু প্রাণী কাঁদিছে বিকেলে, না পারি লভিতে যত্নে সে রত্ন - ভবনে","बहु प्राणी काँदिछे बिकेले, ना पारि लभिते यत्ने से रत्न - भबने","बहु प्राणी काँदिछे बिकेले, ना पारि लभिते यत्ने से रत्न - भवने"
Michael Madhusudan Dutta,যশের মন্দির,Michael Madhusudan Dutta - যশের মন্দির,ব্যথিল হৃদয় মোর দেখি তা সবারে,ब्यथिल हृदय़ मोर देखि ता सबारे,ब्यथिल हृदय मोर देखि ता सबारे
Michael Madhusudan Dutta,যশের মন্দির,Michael Madhusudan Dutta - যশের মন্দির,"শিয়রে দাঁড়ায়ে পরে কহিলা ভারতী, মৃদু হাসি; “ওরে বাছা, না দিলে শকতি আমি, ও দেউলে কার সাধ্য উঠিবারে","शिय़रे दाँड़ाय़े परे कहिला भारती, मृदु हासि; “ओरे बाछा, ना दिले शकति आमि, ओ देउले कार साध्य उठिबारे","शिय़रे दाँड़ाय़े परे कहिला भारती, मृदु हासि; “ओरे बाछा, ना दिले शकति आमि, ओ देउले कार साध्य उठिबारे"
Michael Madhusudan Dutta,যশের মন্দির,Michael Madhusudan Dutta - যশের মন্দির,"যশের মন্দির ওই; ওথা যার গতি, অশক্ত আপনি যম ছুঁইতে রে তারে","यशेर मन्दिर ओइ; ओथा यार गति, अशक्त आपनि यम छुँइते रे तारे","यशेर मन्दिर ओइ; ओथा यार गति, अशक्त आपनि यम छुँइते रे तारे"
Michael Madhusudan Dutta,কবি,Michael Madhusudan Dutta - কবি,কে কবি— কবে কে মোরে,के कबि— कबे के मोरे,के कवि— कबे के मोरे
Michael Madhusudan Dutta,কবি,Michael Madhusudan Dutta - কবি,"ঘটকালি করি, শবদে শবদে বিয়া দেয় যেই জন, সেই কি সে যম - দমী","घटकालि करि, शबदे शबदे बिय़ा देय़ येइ जन, सेइ कि से यम - दमी","घटकालि करि, शबदे शबदे बिना देख येइ जन, सेइ कि से यम - दमी"
Michael Madhusudan Dutta,কবি,Michael Madhusudan Dutta - কবি,তার শিরোপরি শোভে কি অক্ষয় শোভা যশের রতন,तार शिरोपरि शोभे कि अक्षय़ शोभा यशेर रतन,तार शिरोपरि शोभे कि अक्षय़ शोभा यशेर रतन
Michael Madhusudan Dutta,কবি,Michael Madhusudan Dutta - কবি,"সেই কবি মোর মতে, কল্পনা সুন্দরী যার মনঃ - কমলেতে পাতেন আসন, অস্তগামি - ভানু - প্রভা - সদৃশ বিতরি ভাবের সংসারে তার সুবর্ণ - কিরণ","सेइ कबि मोर मते, कल्पना सुन्दरी यार मनः - कमलेते पातेन आसन, अस्तगामि - भानु - प्रभा - सदृश बितरि भाबेर संसारे तार सुबर्ण - किरण","सेइ कवि मोर मते, कल्पना सुन्दरी यार मनः - कमलेते पातेन आसन, अस्तगामि - भानु - प्रभा - सदृश बितरि भावेर संसारे तार सुवर्ण - किरण"
Michael Madhusudan Dutta,কবি,Michael Madhusudan Dutta - কবি,"আনন্দ, আক্ষেপ ক্রোধ, যার আজ্ঞা মানে অরণ্যে কুসুম ফোটে যার ইচ্ছা - বলে; নন্দন - কানন হতে যে সুজন আনে পারিজাত কুসুমের রম্য পরিমলে; মরুভূমে— তুষ্ট হয়ে যাহার ধেয়ানে বহে জলবতী নদী মৃদু কলকলে","आनन्द, आक्षेप क्रोध, यार आज्ञा माने अरण्ये कुसुम फोटे यार इच्छा - बले; नन्दन - कानन हते ये सुजन आने पारिजात कुसुमेर रम्य परिमले; मरुभूमे— तुष्ट हय़े याहार धेय़ाने बहे जलबती नदी मृदु कलकले","आनन्द, आक्षेप क्रोध, यार आज्ञा माने अरण्ये कुसुम फोटे यार इच्छा - बले; नन्दन - कानन हते ये सुजन आने पारिजात कुसुमेर रम्य परिमले; मरुभूमे— तुष्ट हय़े याहार धेय़ाने बहे जलबती नदी मृदु कलकले"
Sukanta Bhattacharya,“নব জ্যামিতি”র ছড়া,Sukanta Bhattacharya - “নব জ্যামিতি”র ছড়া,"সিদ্ধান্ত: আজকে দেশে রব উঠেছে, দেশেতে নেই খাদ্য; ‘আছে’, সেটা প্রমাণ করাই অধুনা ‘সম্পাদ্য’","सिद्धान्त: आजके देशे रब उठेछे, देशेते नेइ खाद्य; ‘आछे’, सेटा प्रमाण कराइ अधुना ‘सम्पाद्य’","सिद्धान्त: आजके देशे रव उठेछे, देशेते नेइ खाद्य; ‘आछे’, सेटा प्रमाण कराइ अधुना ‘सम्पाद्य’"
Sukanta Bhattacharya,“নব জ্যামিতি”র ছড়া,Sukanta Bhattacharya - “নব জ্যামিতি”র ছড়া,"কল্পনা: মনে করো, আসছে জাপান অতি অবিলম্বে, সাধারণকে রুখতে হবে অতি দৃঢ় ‘লম্বে’","कल्पना: मने करो, आसछे जापान अति अबिलम्बे, साधारणके रुखते हबे अति दृढ़ ‘लम्बे’","कल्पना: मने करो, आसछे जापान अति अबिलम्बे, साधारणके रुखते हबे अति दृढ़ ‘लम्बे’"
Sukanta Bhattacharya,“নব জ্যামিতি”র ছড়া,Sukanta Bhattacharya - “নব জ্যামিতি”র ছড়া,"“খাদ্য নেই” এর প্রথম পাওয়া খুব ‘সরল রেখা’তে, দেশরক্ষার ‘লম্ব’ তোলাই আজকে হবে শেখাতে","“खाद्य नेइ” एर प्रथम पाओय़ा खुब ‘सरल रेखा’ते, देशरक्षार ‘लम्ब’ तोलाइ आजके हबे शेखाते","“खाद्य नेइ” एर प्रथम पाओंा खुब ‘सरल रेखा’ते, देशरक्षार ‘लम्ब’ तोलाइ आजके हबे शेखाते"
Sukanta Bhattacharya,“নব জ্যামিতি”র ছড়া,Sukanta Bhattacharya - “নব জ্যামিতি”র ছড়া,"অঙ্কন: আত্মনিয়ন্ত্রণের দাবীর ক্ষুদ্র বিন্দু থেকে, প্রতিরোধের বিন্দুতে নাও ঐক্য - রেখা এঁকে","अङ्कन: आत्मनिय़न्त्रणेर दाबीर क्षुद्र बिन्दु थेके, प्रतिरोधेर बिन्दुते नाओ ऐक्य - रेखा एँके","अङ्कन: आत्मनियन्त्रणेर दाबीर क्षुद्र बिन्दु थेके, प्रतिरोधेर बिन्दुते नाओ ऐक्य - रेखा एँके"
Sukanta Bhattacharya,“নব জ্যামিতি”র ছড়া,Sukanta Bhattacharya - “নব জ্যামিতি”র ছড়া,"‘হিন্দু - মুসলমানে’র কেন্দ্রে, দুদিকের দুই ‘চাপে’ যুক্ত করো উভয়কে এক প্রতিরোধের ধাপে","‘हिन्दु - मुसलमाने’र केन्द्रे, दुदिकेर दुइ ‘चापे’ युक्त करो उभय़के एक प्रतिरोधेर धापे","‘हिन्दु - मुसलमाने’र केन्द्रे, दुदिकेर दुइ ‘चापे’ युक्त करो उभय़के एक प्रतिरोधेर धापे"
Sukanta Bhattacharya,“নব জ্যামিতি”র ছড়া,Sukanta Bhattacharya - “নব জ্যামিতি”র ছড়া,"প্রতিরোধের বিন্দুতে দুই জাতি যদি মেলে, সাথে সাথেই খাদ্য পাওয়ার হদিশ তুমি পেলে","प्रतिरोधेर बिन्दुते दुइ जाति यदि मेले, साथे साथेइ खाद्य पाओय़ार हदिश तुमि पेले","प्रतिरोधेर बिन्दुते दुइ जाति यदि मेले, साथे साथेइ खाद्य पाओय़ार हदिश तुमि पेले"
Sukanta Bhattacharya,“নব জ্যামিতি”র ছড়া,Sukanta Bhattacharya - “নব জ্যামিতি”র ছড়া,"প্রমাণ: খাদ্য এবং প্রতিরোধ উভয়েরই চাই, হিন্দু এবং মুসলমান মিলন হবে তাই","प्रमाण: खाद्य एबं प्रतिरोध उभय़ेरइ चाइ, हिन्दु एबं मुसलमान मिलन हबे ताइ","प्रमाण: खाद्य एवं प्रतिरोध उभयेरइ चाइ, हिन्दु एवं मुसलमान मिलन हबे ताइ"
Sukanta Bhattacharya,“নব জ্যামিতি”র ছড়া,Sukanta Bhattacharya - “নব জ্যামিতি”র ছড়া,"উভয়ের চাই স্বাধীনতা, উভয় দাবীই সমান, দিকে দিকে ‘খাদ্যলাভ’ একতারই প্রমাণ","उभय़ेर चाइ स्वाधीनता, उभय़ दाबीइ समान, दिके दिके ‘खाद्यलाभ’ एकतारइ प्रमाण","उभयेर चाइ स्वाधीनता, उभय दाबीइ समान, दिके दिके ‘खाद्यलाभ’ एकतारइ प्रमाण"
Sukanta Bhattacharya,“নব জ্যামিতি”র ছড়া,Sukanta Bhattacharya - “নব জ্যামিতি”র ছড়া,"প্রতিরোধের সঠিক পথে অগ্রসর যারা, ঐক্যবদ্ধ পরস্পর খাদ্য পায় তারা","प्रतिरोधेर सठिक पथे अग्रसर यारा, ऐक्यबद्ध परस्पर खाद्य पाय़ तारा","प्रतिरोधेर सठिक पथे अग्रसर यारा, ऐक्यबद्ध परस्पर खाद्य पाय़ तारा"
Sukanta Bhattacharya,দুর্মর,Sukanta Bhattacharya - দুর্মর,"হিমালয় থেকে সুন্দরবন, হঠাৎ বাংলা দেশ কেঁপে কেঁপে উঠে পদ্মার উচ্ছ্বাসে, সে কোলাহলের রুদ্ধস্বরের আমি পাই উদ্দেশ জলে ও মাটিতে ভাঙ্গনের বেগ আসে","हिमालय़ थेके सुन्दरबन, हठात् बांला देश केँपे केँपे उठे पद्मार उच्छ्वासे, से कोलाहलेर रुद्धस्वरेर आमि पाइ उद्देश जले ओ माटिते भाङ्गनेर बेग आसे","हिमालय थेके सुन्दरबन, हठात् बांला देश केँपे केँपे उठे पद्मार उच्छ्वासे, से कोलाहलेर रुद्धस्वरेर आमि पाइ उद्देश जले ओ माटिते भाङ्गनेर वेग आसे"
Sukanta Bhattacharya,দুর্মর,Sukanta Bhattacharya - দুর্মর,"হঠাৎ নিরীহ মাটিতে কখন, জন্ম নিয়েছে সচেতনতার ধান, গত আকালের মৃত্যুকে মুছে আবার এসেছে বাংলা দেশের প্রাণ “হয় ধান নয় প্রাণ” এ শব্দে সারা দেশ দিশাহারা, একবার মরে ভুলে গেছে আজ মৃত্যুর ভয় তারা","हठात् निरीह माटिते कखन, जन्म निय़ेछे सचेतनतार धान, गत आकालेर मृत्युके मुछे आबार एसेछे बांला देशेर प्राण “हय़ धान नय़ प्राण” ए शब्दे सारा देश दिशाहारा, एकबार मरे भुले गेछे आज मृत्युर भय़ तारा","हठात् निरीह माटिते कखन, जन्म निय़ेछे सचेतनतार धान, गत आकालेर मृत्युके मुछे आवार एसेछे बांला देशेर प्राण “हय़ धान नय़ प्राण” ए शब्दे सारा देश दिशाहारा, एकबार मरे भुले गेछे आज मृत्युर भय़ तारा"
Sukanta Bhattacharya,দুর্মর,Sukanta Bhattacharya - দুর্মর,"সাবাস, বাংলা দেশ, এ পৃথিবী অবাক তাকিয়ে রয়: জ্বলে পুড়ে - মার ছারখার তবু মাথা নোয়াবার নয়","साबास, बांला देश, ए पृथिबी अबाक ताकिय़े रय़: ज्वले पुड़े - मार छारखार तबु माथा नोय़ाबार नय़","साबास, बांला देश, ए पृथिवी अबाक ताकिय़े रय़: ज्वले पुड़े - मार छारखार तबु माथा नोय़ाबार नय़"
Sukanta Bhattacharya,দুর্মর,Sukanta Bhattacharya - দুর্মর,"এবার লোকের ঘরে ঘরে যাবে সোনালী নয়কো, রক্তে রঙিন ধান, দেখবে সকলে সেখানে জ্বলছে দাউ দাউ করে বাংলা দেশের প্রাণ","एबार लोकेर घरे घरे याबे सोनाली नय़को, रक्ते रङिन धान, देखबे सकले सेखाने ज्वलछे दाउ दाउ करे बांला देशेर प्राण","एवार लोकेर घरे घरे याबे सोनाली नखको, रक्ते रङिन धान, देखबे सकले सेखाने ज्वलछे दाउ दाउ करे बांला देशेर प्राण"
Sukanta Bhattacharya,উদ্যোগ,Sukanta Bhattacharya - উদ্যোগ,"বন্ধু, তোমার ছাড়ো উদ্বেগ, সুতীক্ষ্ণ করো চিত্ত, বাংলার মাটি দুর্জয় ঘাঁটি বুঝে নিক দুর্বৃত্ত","बन्धु, तोमार छाड़ो उद्वेग, सुतीक्ष्ण करो चित्त, बांलार माटि दुर्जय़ घाँटि बुझे निक दुर्बृत्त","बन्धु, तोमार छाड़ो उद्वेग, सुतीक्ष्ण करो चित्त, बांलार माटि दुर्जय़ घाँटि बुझे निक दुर्वृत्त"
Sukanta Bhattacharya,উদ্যোগ,Sukanta Bhattacharya - উদ্যোগ,"মূঢ় শত্রুকে হানো স্রোত রুখে, তন্দ্রাকে করো ছিন্ন, একাগ্র দেশে শত্রুরা এসে হয়ে যাক নিশ্চিহ্ন","मूढ़ शत्रुके हानो स्रोत रुखे, तन्द्राके करो छिन्न, एकाग्र देशे शत्रुरा एसे हय़े याक निश्चिह्न","मूढ़ शत्रुके हानो स्रोत रुखे, तन्द्राके करो छिन्न, एकाग्र देशे शत्रुरा एसे हय़े याक निश्चिह्न"
Sukanta Bhattacharya,উদ্যোগ,Sukanta Bhattacharya - উদ্যোগ,"ঘরে তোল ধান, বিপ্লবী প্রাণ প্রস্তুত রাখো কাস্তে, গাও সারিগান, হাতিয়ারে শান দাও আজ উদয়াস্তে","घरे तोल धान, बिप्लबी प्राण प्रस्तुत राखो कास्ते, गाओ सारिगान, हातिय़ारे शान दाओ आज उदय़ास्ते","घरे तोल धान, बिप्लवी प्राण प्रस्तुत राखो कास्ते, गाओ सारिगान, हातितारे शान दाओ आज उदघास्ते"
Sukanta Bhattacharya,উদ্যোগ,Sukanta Bhattacharya - উদ্যোগ,"আজ দৃঢ় দাঁতে পুজিত হাতে প্রতিরোধ করো শক্ত, প্রতি ঘাসে ঘাসে বিদ্যুৎ আসে জাগে সাড়া অব্যক্ত","आज दृढ़ दाँते पुजित हाते प्रतिरोध करो शक्त, प्रति घासे घासे बिद्युत् आसे जागे साड़ा अब्यक्त","आज दृढ़ दाँते पुजित हाते प्रतिरोध करो शक्त, प्रति घासे घासे विद्युत् आसे जागे साड़ा अव्यक्त"
Sukanta Bhattacharya,উদ্যোগ,Sukanta Bhattacharya - উদ্যোগ,"আজকে মজুর হাতুড়ির সুর ক্রমশই করে দৃপ্ত, আসে সংহতি; শত্রুর প্রতি ঘৃণা হয় নিক্ষিপ্ত","आजके मजुर हातुड़िर सुर क्रमशइ करे दृप्त, आसे संहति; शत्रुर प्रति घृणा हय़ निक्षिप्त","आजके मजुर हातुड़िर सुर क्रमशइ करे दृप्त, आसे संहति; शत्रुर प्रति घृणा हय़ निक्षिप्त"
Sukanta Bhattacharya,উদ্যোগ,Sukanta Bhattacharya - উদ্যোগ,"ভীরু অন্যায় প্রাণ - বন্যায় জেনো আজ উচ্ছেদ্য, বিপন্ন দেশে তাই নিঃশেষে ঢালো প্রাণ দুর্ভেদ্য","भीरु अन्याय़ प्राण - बन्याय़ जेनो आज उच्छेद्य, बिपन्न देशे ताइ निःशेषे ढालो प्राण दुर्भेद्य","भीरु अन्याय़ प्राण - बन्याय़ जेनो आज उच्छेद्य, विपन्न देशे ताइ निःशेषे ढालो प्राण दुर्भेद्य"
